bathrooms;hasLift;latitude;longitude;newDevelopment;price;rooms;size;exterior_0;exterior_1;floor_1;floor_2;floor_3;floor_4;floor_high;floor_en;luxury;hasParking;property_chalet;property_duplex;property_penthouse;property_studio;status_renew;y_pred;rentabilidad;property_type;floor_type
3;False;37.3897288;-5.96883;False;480000.0;5;190.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1238.459536807279;3.0961488420181973;Chalet;Bajo/Semisótano
2;True;37.3858721;-5.9615326;False;310000.0;3;85.0;0;0;0;0;0;0;0;1;False;True;0;0;0;0;0;1202.358344641695;4.654290366354949;Piso;Entrepiso
1;False;37.3919893;-5.9690685;False;252000.0;3;89.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;912.8738449384331;4.347018309230634;Piso;Segundo Piso
1;True;37.385874;-5.9635462;False;159900.0;1;61.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;862.7510682113782;6.47467968638933;Piso;Segundo Piso
1;False;37.3935408;-5.9686714;False;84999.0;2;65.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;0;834.3745076362919;11.779543396552315;Piso;Piso Alto
1;False;37.3933184;-5.9688475;False;85000.0;2;65.0;0;1;0;0;0;1;0;0;False;False;0;0;0;0;0;879.4455058047902;12.415701258420567;Piso;Cuarto Piso
3;True;37.3863177;-5.9656002;True;591000.0;3;166.0;0;1;0;0;1;0;0;0;False;True;0;0;1;0;0;1409.8562264150942;2.8626522363758258;Ático;Tercer Piso
2;True;37.3863177;-5.9656002;True;369700.0;3;111.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;1141.312981321839;3.7045593118371833;Piso;Segundo Piso
3;True;37.3863177;-5.9656002;True;591000.0;4;166.0;0;1;0;0;1;0;0;0;False;True;0;0;1;0;0;1452.4087264150942;2.9490532516042522;Ático;Tercer Piso
1;False;37.3935536;-5.9687934;False;126000.0;3;60.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;817.222007636292;7.7830667393932575;Piso;Bajo/Semisótano
2;True;37.3863657;-5.9661077;False;278000.0;2;83.0;0;1;0;1;0;0;0;0;False;False;0;1;0;0;0;1180.8454515599342;5.097174611050076;Dúplex;Segundo Piso
3;False;37.3900221;-5.9693867;False;480000.0;4;184.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1226.934536807279;3.067336342018198;Chalet;Bajo/Semisótano
2;True;37.3858539;-5.9648254;False;278000.0;2;83.0;0;1;0;1;0;0;0;0;False;False;0;1;0;0;0;1202.412118226601;5.190268136229933;Dúplex;Segundo Piso
2;True;37.395237;-5.9677014;False;296000.0;4;182.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;0;1111.4854166666667;4.506021959459459;Piso;Piso Alto
